# generated_by=fixtures/r/generate_locfit_fixtures.R
# r_version=4.6.0
# locfit_version=1.5.9.12
# columns:case,kind,index,mean,disp,expected
smooth_monotone,input,0,1,0.6249069094225429,
smooth_monotone,input,1,1.2689610031679222,0.55765944785828636,
smooth_monotone,input,2,1.6102620275609394,0.49770398272063193,
smooth_monotone,input,3,2.043359717856942,0.44498364004536384,
smooth_monotone,input,4,2.5929437974046672,0.39765983640225849,
smooth_monotone,input,5,3.2903445623126681,0.3556518193464982,
smooth_monotone,input,6,4.1753189365604007,0.31870770665265402,
smooth_monotone,input,7,5.2983169062837083,0.28577672226323908,
smooth_monotone,input,8,6.7233575364993357,0.25648434271546083,
smooth_monotone,input,9,8.5316785241728095,0.2303702783986713,
smooth_monotone,input,10,10.826367338740543,0.20758371107960211,
smooth_monotone,input,11,13.738237958832624,0.18693603817675242,
smooth_monotone,input,12,17.433288221999877,0.16860927410725846,
smooth_monotone,input,13,22.122162910704489,0.15224533065779947,
smooth_monotone,input,14,28.072162039411765,0.13841512857466545,
smooth_monotone,input,15,35.622478902624408,0.1255217596348234,
smooth_monotone,input,16,45.20353656360242,0.11423869848783078,
smooth_monotone,input,17,57.361525104486788,0.1043647056274193,
smooth_monotone,input,18,72.789538439831517,0.09545085097925865,
smooth_monotone,input,19,92.367085718738579,0.087519782171755961,
smooth_monotone,input,20,117.21022975334797,0.080560015788797346,
smooth_monotone,input,21,148.73521072935111,0.074316357150262899,
smooth_monotone,input,22,188.73918221350957,0.068684920330594562,
smooth_monotone,input,23,239.50266199874841,0.063480351862287829,
smooth_monotone,input,24,303.91953823131962,0.059510758721641147,
smooth_monotone,input,25,385.6620421163471,0.055544161594213694,
smooth_monotone,input,26,489.39009184774937,0.052098807139710893,
smooth_monotone,input,27,621.01694189156115,0.04886102553847186,
smooth_monotone,input,28,788.04628156699084,0.046302276794262576,
smooth_monotone,input,29,999.99999999999977,0.044036751861874474,
smooth_monotone,predict,0,1.5,,0.51637253095571489
smooth_monotone,predict,1,2.654606994262406,,0.39262169028664962
smooth_monotone,predict,2,4.6979588626579236,,0.30097811425066473
smooth_monotone,predict,3,8.3141563037125206,,0.23247885080063499
smooth_monotone,predict,4,14.713878316817427,,0.18098160862399487
smooth_monotone,predict,5,26.039709528366323,,0.14236480279118496
smooth_monotone,predict,6,46.083463361708461,,0.11335458077404839
smooth_monotone,predict,7,81.555656106551041,,0.091372000897840949
smooth_monotone,predict,8,144.33214341473999,,0.074844789487896968
smooth_monotone,predict,9,255.43007827043576,,0.062505355171398283
smooth_monotone,predict,10,452.04431488112817,,0.05320963538725379
smooth_monotone,predict,11,799.99999999999989,,0.046191943395397367
wide_dynamic_range,input,0,0.10000000000000002,0.58397955275535396,
wide_dynamic_range,input,1,0.1584893192461114,0.52260329330159638,
wide_dynamic_range,input,2,0.25118864315095812,0.50270250789585702,
wide_dynamic_range,input,3,0.39810717055349737,0.46302221799445076,
wide_dynamic_range,input,4,0.63095734448019347,0.40910019645093315,
wide_dynamic_range,input,5,1.0000000000000004,0.39351324758691025,
wide_dynamic_range,input,6,1.584893192461114,0.36217604019859295,
wide_dynamic_range,input,7,2.5118864315095815,0.33538353756955069,
wide_dynamic_range,input,8,3.9810717055349745,0.31896311177740005,
wide_dynamic_range,input,9,6.3095734448019378,0.28398172903511393,
wide_dynamic_range,input,10,10.000000000000007,0.24549019326449481,
wide_dynamic_range,input,11,15.848931924611144,0.2182463495358602,
wide_dynamic_range,input,12,25.118864315095809,0.20121705853767735,
wide_dynamic_range,input,13,39.810717055349734,0.17674915022923784,
wide_dynamic_range,input,14,63.095734448019364,0.14789274878716455,
wide_dynamic_range,input,15,100.00000000000004,0.12945416578927751,
wide_dynamic_range,input,16,158.48931924611139,0.117944189973473,
wide_dynamic_range,input,17,251.18864315095806,0.10428886337234225,
